timestamp,username,ip_address,country,status,device
2026-08-14 08:30:12,isabella,192.168.1.10,BR,SUCCESS,Chrome
2026-08-14 09:10:24,maria,192.168.1.20,BR,SUCCESS,Edge
2026-08-14 23:45:10,admin,185.22.13.10,RU,FAILED,Firefox
2026-08-14 23:45:20,admin,185.22.13.10,RU,FAILED,Firefox
2026-08-14 23:45:30,admin,185.22.13.10,RU,FAILED,Firefox
2026-08-14 23:45:40,admin,185.22.13.10,RU,FAILED,Firefox
2026-08-14 23:45:50,admin,185.22.13.10,RU,FAILED,Firefox
2026-08-15 02:12:00,carlos,92.100.15.80,US,FAILED,Chrome
2026-08-15 02:13:20,carlos,92.100.15.80,US,FAILED,Chrome
2026-08-15 10:15:00,ana,192.168.1.50,BR,SUCCESS,Chrome
2026-08-15 14:20:00,joao,203.0.113.50,BR,FAILED,Chrome
2026-08-15 14:20:15,maria,203.0.113.50,BR,FAILED,Chrome
2026-08-15 14:20:30,admin,203.0.113.50,BR,FAILED,Chrome
2026-08-15 14:20:45,carlos,203.0.113.50,BR,FAILED,Chrome
2026-08-15 16:30:00,paulo,198.51.100.25,BR,FAILED,Chrome
2026-08-15 16:30:15,paulo,198.51.100.25,BR,FAILED,Chrome
2026-08-15 16:30:30,paulo,198.51.100.25,BR,FAILED,Chrome
2026-08-15 16:30:45,paulo,198.51.100.25,BR,SUCCESS,Chrome
